Date,Open,High,Low,Close,Volume,True Range,20 EMA,BB Upper,BB Mid,BB Lower,MACD,MACD Signal,MACD Histogram
8/15/2000,0.84375,0.856027,0.830357,0.833705,114200800,0.0218,0.7488,0.8173,0.745,0.6727,-0.0546,-0.047,-0.0075
8/16/2000,0.837054,0.875,0.835938,0.866071,143673600,0.035,0.7451,0.8101,0.741,0.6735,-0.0515,-0.0492,-0.0024
8/17/2000,0.863839,0.936384,0.862723,0.918527,270900000,0.0625,0.7438,0.7955,0.739,0.6826,-0.0483,-0.0504,0.0021
8/18/2000,0.917411,0.925223,0.890625,0.892857,190176000,0.0292,0.7471,0.7832,0.736,0.6895,-0.0412,-0.0502,0.009
8/21/2000,0.897321,0.920759,0.886161,0.901786,134467200,0.0292,0.7484,0.7862,0.737,0.6893,-0.0312,-0.0483,0.017
8/22/2000,0.904018,0.94308,0.899554,0.922991,276802400,0.0368,0.7501,0.7905,0.739,0.6874,-0.0253,-0.0453,0.02
8/23/2000,0.919085,0.977679,0.91183,0.969866,236863200,0.0559,0.7528,0.8048,0.742,0.6795,-0.0167,-0.0415,0.0247
8/24/2000,0.976283,1.011161,0.953125,1.001953,310766400,0.0492,0.7599,0.8213,0.745,0.6693,-0.0079,-0.0366,0.0286
8/25/2000,1.008929,1.026786,1.006696,1.014509,334460000,0.021,0.769,0.8423,0.751,0.6612,0.0018,-0.0306,0.0323
8/28/2000,1.022321,1.053571,1.018973,1.03683,359004800,0.0331,0.7783,0.8633,0.757,0.6511,0.0117,-0.0232,0.0349
8/29/2000,1.033482,1.061384,1.030134,1.05692,267030400,0.0265,0.7876,0.8865,0.764,0.6428,0.0226,-0.015,0.0375
8/30/2000,1.053571,1.071429,1.04827,1.0625,285392800,0.0197,0.7976,0.907,0.773,0.6409,0.0319,-0.006,0.0379
8/31/2000,1.053013,1.098214,1.052455,1.08817,419596800,0.0387,0.8067,0.9296,0.783,0.6379,0.0414,0.0031,0.0382
9/1/2000,1.094866,1.136161,1.091518,1.132813,256872000,0.0407,0.8182,0.9572,0.795,0.6346,0.053,0.0125,0.0405
9/5/2000,1.118862,1.145089,1.111607,1.114955,298642400,0.0283,0.8306,0.9772,0.806,0.6365,0.065,0.0225,0.0424
9/6/2000,1.095982,1.113839,1.03125,1.043527,355404000,0.071,0.84,0.9828,0.815,0.6486,0.0705,0.0322,0.0383
9/7/2000,1.055804,1.117188,1.040179,1.107143,217464800,0.0652,0.8452,0.9958,0.826,0.6576,0.0765,0.0416,0.0349
9/8/2000,1.100446,1.100446,1.044643,1.051339,195518400,0.053,0.8536,0.9991,0.835,0.6714,0.083,0.0506,0.0324
9/11/2000,1.047991,1.078125,1.037946,1.043527,187381600,0.0341,0.8569,0.9999,0.843,0.6869,0.0845,0.0587,0.0258
